config,seed,performer,metric,precision,recall,f1
feature_all,1,A,iou01,0.5115252799884641,0.7536936869099988,0.6094334408648096
feature_all,1,B,iou01,0.9689576719141957,0.7985040307776413,0.87551159439329
feature_all,1,C,iou01,0.8591375343049183,0.9147700308705533,0.8860814218360021
feature_all,1,D,iou01,0.7716852592489627,0.714921765763757,0.7422198050643688
feature_all,1,E,iou01,0.7090063379066223,0.8168803546521693,0.7591302179699456
feature_all,1,F,iou01,0.39628462261042463,0.7404119116724593,0.5162571471698765
feature_all,1,G,iou01,0.7453059292334581,0.33793387445289946,0.46502006196867185
feature_all,1,H,iou01,0.7261780323440314,0.48745557747712737,0.5833383802869901
feature_all,1,I,iou01,0.5960718668527393,0.6711061970900623,0.6313675009670502
feature_all,1,J,iou01,0.5142500199558239,0.656895615090356,0.5768856973211338
feature_all,1,K,iou01,0.9319717103090435,0.6806099531526432,0.7867002787708399
feature_all,1,L,iou01,0.5343235304997819,0.6103446011709751,0.5698096646460314
feature_all,1,A,point100,0.5114543051221635,0.7535891108298856,0.6093488811007536
feature_all,1,B,point100,0.9688640868233277,0.7984269086551329,0.875427034629234
feature_all,1,C,point100,0.8590555458268823,0.914682733319708,0.8859968620719462
feature_all,1,D,point100,0.7715973425388422,0.714840316016096,0.7421352453003128
feature_all,1,E,point100,0.7089273614580126,0.8167893620814402,0.7590456582058897
feature_all,1,F,point100,0.39428501918298425,0.7366758843026732,0.5136521771507991
feature_all,1,G,point100,0.7451704019762927,0.3378724241821966,0.46493550220461605
feature_all,1,H,point100,0.7260727667809334,0.48738491672513135,0.5832538205229343
feature_all,1,I,point100,0.5838961888444969,0.6573978283186112,0.6184708557399695
feature_all,1,J,point100,0.5118588612271595,0.6538411831547392,0.5742032953433768
feature_all,1,K,point100,0.931871535807957,0.6805367966804698,0.7866157190067841
feature_all,1,L,point100,0.5291694451258806,0.6044572164641993,0.5643132799823939
feature_all,2,A,iou01,0.5243920153068847,0.7726518451086597,0.6247629252218265
